chr16	11891244	11891301	57
chr13	114144985	114145063	78
chr3	15468940	15469076	136
chr1	23857859	23858006	147
chr5	61601761	61601911	150
chr10	72238205	72238357	152
chr10	30722638	30722793	155
chr4	37892104	37892292	188
chr4	71705461	71705654	193
chr20	17663167	17663369	202
chr11	65189881	65190103	222
chr1	166808479	166808707	228
chr13	113343832	113344062	230
chr1	221916260	221916494	234
chr4	139936859	139937115	256
chr1	245027688	245027958	270
chr11	75479737	75480017	280
chr10	105156297	105156587	290
chr20	49548302	49548597	295
chr1	221915884	221916207	323
chr22	40742434	40742758	324
chr9	123639705	123640039	334
chr5	94890750	94891086	336
chr16	58035232	58035573	341
chr4	153700782	153701149	367
chr5	139017171	139017565	394
chr4	26321187	26321594	407
chr10	7454096	7454515	419
chr22	19109984	19110404	420
chr17	66507666	66508098	432
chr4	185570355	185570789	434
chr4	170192100	170192574	474
chr16	25122572	25123049	477
chr10	7454685	7455168	483
chr8	30670056	30670546	490
chr1	161008377	161008880	503
chr6	87861384	87861903	519
chr1	9242232	9242761	529
chr10	105156061	105156603	542
chr6	18264778	18265360	582
chr5	39074797	39075425	628
chr9	35079517	35080186	669
chr9	136223261	136223954	693
chr16	67514971	67515670	699
chr1	43389742	43390447	705
chr20	4803643	4804350	707
chr9	37034368	37035084	716
chr4	185747333	185748054	721
chr4	87855725	87856448	723
chr6	52441154	52441900	746
chr11	77531473	77532220	747
chr1	153918934	153919687	753
chr10	72141721	72142484	763
chr1	212003870	212004637	767
chr13	111567300	111568067	767
chr20	5093492	5094272	780
chr4	183838726	183839517	791
chr12	95610899	95611708	809
chr1	45476510	45477327	817
chr1	226595430	226596263	833
chr15	59225640	59226515	875
chr14	91884898	91885777	879
chr9	35814290	35815170	880
chr15	34659508	34660391	883
chr13	76123027	76123946	919
chr6	11093660	11094647	987
chr6	160147650	160148658	1008
chr15	44828479	44829488	1009
chr4	17811631	17812666	1035
chr17	37909988	37911027	1039
chr14	103850702	103851743	1041
chr8	28351396	28352491	1095
chr11	18034685	18035793	1108
chr14	64107855	64108978	1123
chr10	7452672	7453825	1153
chr16	30786630	30787812	1182
chr4	37891884	37893238	1354
chr8	30514493	30515911	1418
chr6	160210822	160212252	1430
chr9	37465631	37467078	1447
chr8	22552315	22553831	1516
chr6	24720926	24722570	1644
chr1	249151746	249153579	1833
chr4	170191172	170193010	1838
chr4	2964466	2966496	2030
chr4	2964466	2966557	2091
chr4	110480710	110482871	2161
chr5	6711172	6713494	2322
chr21	46291815	46294195	2380
chr20	47443418	47445954	2536
chr18	8607520	8610488	2968
chr4	26321046	26324520	3474
chr2	153573262	153576806	3544
chr7	26239064	26242980	3916
